rank,zip,population,income,startups,national_rank,ca,unit,station,line,income_index,startups_index,income_prop,startups_prop
19,10011,46669,61986,36,2569,R105,R127,14 ST,123FLM,1.23,3.24,0.03,0.09
19,10011,46669,61986,36,2569,R105,R128,14 ST,123FLM,1.23,3.24,0.03,0.09
19,10011,46669,61986,36,2569,R175,N078,14 ST,ACEL,1.23,3.24,0.03,0.09
19,10011,46669,61986,36,2569,R163,N512,14 ST-6 AVE,FLM123,1.23,3.24,0.03,0.09
19,10011,46669,61986,36,2569,R163,N510,14 ST-6 AVE,FLM123,1.23,3.24,0.03,0.09
19,10011,46669,61986,36,2569,R163,N511,14 ST-6 AVE,FLM123,1.23,3.24,0.03,0.09
19,10011,46669,61986,36,2569,R163,N513,14 ST-6 AVE,FLM123,1.23,3.24,0.03,0.09
19,10011,46669,61986,36,2569,R545,PTH11,14TH STREET,1,1.23,3.24,0.03,0.09
19,10011,46669,61986,36,2569,R321,R129,18 ST,1,1.23,3.24,0.03,0.09
19,10011,46669,61986,36,2569,R321,R130,18 ST,1,1.23,3.24,0.03,0.09
19,10011,46669,61986,36,2569,R111,N076,23 ST,CE,1.23,3.24,0.03,0.09
19,10011,46669,61986,36,2569,R111,N075,23 ST,CE,1.23,3.24,0.03,0.09
19,10011,46669,61986,36,2569,R111,N077,23 ST,CE,1.23,3.24,0.03,0.09
19,10011,46669,61986,36,2569,R190,R131,23 ST,1,1.23,3.24,0.03,0.09
19,10011,46669,61986,36,2569,R190,R132,23 ST,1,1.23,3.24,0.03,0.09
19,10011,46669,61986,36,2569,R453,N508,23 ST-6 AVE,FM,1.23,3.24,0.03,0.09
19,10011,46669,61986,36,2569,R163,H003,6 AVE,FLM123,1.23,3.24,0.03,0.09
19,10011,46669,61986,36,2569,R175,H001,8 AVE,ACEL,1.23,3.24,0.03,0.09
19,10011,46669,61986,36,2569,R189,R125,CHRISTOPHER ST,1,1.23,3.24,0.03,0.09
19,10011,46669,61986,36,2569,R189,R126,CHRISTOPHER ST,1,1.23,3.24,0.03,0.09
19,10011,46669,61986,36,2569,R542,PTH12,TWENTY THIRD ST,1,1.23,3.24,0.03,0.09
19,10011,46669,61986,36,2569,R138,N080,W 4 ST-WASH SQ,ABCDEFM,1.23,3.24,0.03,0.09
19,10011,46669,61986,36,2569,R138,N083,W 4 ST-WASH SQ,ABCDEFM,1.23,3.24,0.03,0.09
20,10003,53673,60891,55,2796,R170,A035,14 ST-UNION SQ,LNQR456,1.21,4.95,0.03,0.13
