rank,zip,population,income,startups,national_rank,unit,ca,station,line,income_index,startups_index,income_prop,startups_prop,total entries
9,10005,884,79517,4,860,R043,R204,WALL ST,45,1.58,0.36,0.04,0.01,306677
9,10005,884,79517,4,860,R043,R204A,WALL ST,45,1.58,0.36,0.04,0.01,51930
10,10024,61414,78066,5,935,R166,R162,79 ST,1,1.55,0.45,0.04,0.01,1209779
10,10024,61414,78066,5,935,R166,R163,79 ST,1,1.55,0.45,0.04,0.01,488049
10,10024,61414,78066,5,935,R167,R164,86 ST,1,1.55,0.45,0.04,0.01,922859
10,10024,61414,78066,5,935,R167,R165,86 ST,1,1.55,0.45,0.04,0.01,595229
10,10024,61414,78066,5,935,R167,R166,86 ST,1,1.55,0.45,0.04,0.01,423622
10,10024,61414,78066,5,935,R186,N043,86 ST,BC,1.55,0.45,0.04,0.01,1061700
11,10028,44987,77565,1,955,R179,R250,86 ST,456,1.54,0.09,0.04,0.0,5189032
11,10028,44987,77565,1,955,R179,R249,86 ST,456,1.54,0.09,0.04,0.0,1346421
12,10021,102078,75472,2,1082,R319,N601,LEXINGTON AVE,F,1.5,0.18,0.04,0.0,1127965
13,10023,62206,72424,4,1297,R084,N049,59 ST-COLUMBUS,1ABCD,1.44,0.36,0.04,0.01,2036199
13,10023,62206,72424,4,1297,R084,N051,59 ST-COLUMBUS,ABCD1,1.44,0.36,0.04,0.01,3530927
13,10023,62206,72424,4,1297,R084,R158,59 ST-COLUMBUS,1ABCD,1.44,0.36,0.04,0.01,1415547
13,10023,62206,72424,4,1297,R281,N046,72 ST,BC,1.44,0.36,0.04,0.01,1010672
13,10023,62206,72424,4,1297,R452,R161B,72 ST,123,1.44,0.36,0.04,0.01,2202328
13,10023,62206,72424,4,1297,R452,R161A,72 ST,123,1.44,0.36,0.04,0.01,1946488
13,10023,62206,72424,4,1297,R187,N044,81 ST-MUSEUM,BC,1.44,0.36,0.04,0.01,1086108
13,10023,62206,72424,4,1297,R187,N045,81 ST-MUSEUM,BC,1.44,0.36,0.04,0.01,489961
15,10017,16201,69273,5,1611,R045,R236,42 ST-GRD CNTRL,4567S,1.38,0.45,0.04,0.01,2280803
15,10017,16201,69273,5,1611,R046,R238,42 ST-GRD CNTRL,4567S,1.38,0.45,0.04,0.01,6882244
15,10017,16201,69273,5,1611,R046,R237,42 ST-GRD CNTRL,4567S,1.38,0.45,0.04,0.01,748534
15,10017,16201,69273,5,1611,R047,R240,42 ST-GRD CNTRL,4567S,1.38,0.45,0.04,0.01,3755833
15,10017,16201,69273,5,1611,R047,R237B,42 ST-GRD CNTRL,4567S,1.38,0.45,0.04,0.01,362416
15,10017,16201,69273,5,1611,R048,R241A,42 ST-GRD CNTRL,4567S,1.38,0.45,0.04,0.01,1163309
16,10014,32667,66601,20,1931,R290,R123,HOUSTON ST,1,1.33,1.8,0.03,0.05,571145
16,10014,32667,66601,20,1931,R290,R121,HOUSTON ST,1,1.33,1.8,0.03,0.05,511579
16,10014,32667,66601,20,1931,R290,R122,HOUSTON ST,1,1.33,1.8,0.03,0.05,115552
16,10014,32667,66601,20,1931,R290,R124,HOUSTON ST,1,1.33,1.8,0.03,0.05,176974
17,10016,51217,66342,27,1954,R143,R228,28 ST,6,1.32,2.43,0.03,0.06,775887
17,10016,51217,66342,27,1954,R143,R229,28 ST,6,1.32,2.43,0.03,0.06,1473166
17,10016,51217,66342,27,1954,R143,R230,28 ST,6,1.32,2.43,0.03,0.06,61597
17,10016,51217,66342,27,1954,R176,R231,33 ST,6,1.32,2.43,0.03,0.06,1159310
17,10016,51217,66342,27,1954,R176,R231A,33 ST,6,1.32,2.43,0.03,0.06,727403
17,10016,51217,66342,27,1954,R176,R232,33 ST,6,1.32,2.43,0.03,0.06,828472
17,10016,51217,66342,27,1954,R176,R232A,33 ST,6,1.32,2.43,0.03,0.06,383442
18,10010,26408,62467,56,2471,R131,R227,23 ST,6,1.24,5.04,0.03,0.13,435937
18,10010,26408,62467,56,2471,R131,R227A,23 ST,6,1.24,5.04,0.03,0.13,1067698
18,10010,26408,62467,56,2471,R131,R226,23 ST,6,1.24,5.04,0.03,0.13,618105
18,10010,26408,62467,56,2471,R131,R226A,23 ST,6,1.24,5.04,0.03,0.13,219500
18,10010,26408,62467,56,2471,R083,A031,23 ST-5 AVE,NR,1.24,5.04,0.03,0.13,948230
18,10010,26408,62467,56,2471,R083,A030,23 ST-5 AVE,NR,1.24,5.04,0.03,0.13,1518957
19,10011,46669,61986,36,2569,R105,R127,14 ST,123FLM,1.23,3.24,0.03,0.09,1547063
