rank,zip,population,income,startups,national_rank,unit,ca,station,line,income_index,startups_index,income_prop,startups_prop,total entries
39,10026,30377,22491,1,29581,R324,R302,116 ST,23,0.45,0.09,0.01,0.0,898774
39,10026,30377,22491,1,29581,R333,N030,116 ST,BC,0.45,0.09,0.01,0.0,486197
39,10026,30377,22491,1,29581,R333,N029,116 ST,BC,0.45,0.09,0.01,0.0,201896
39,10026,30377,22491,1,29581,R334,N035,CATHEDRL-110 ST,BC,0.45,0.09,0.01,0.0,414899
39,10026,30377,22491,1,29581,R334,N034,CATHEDRL-110 ST,BC,0.45,0.09,0.01,0.0,355433
40,10029,75390,22232,0,29691,R180,R252,103 ST,6,0.44,0.0,0.01,0.0,747358
40,10029,75390,22232,0,29691,R181,R253,110 ST,6,0.44,0.0,0.01,0.0,386064
40,10029,75390,22232,0,29691,R181,R254,110 ST,6,0.44,0.0,0.01,0.0,1073005
40,10029,75390,22232,0,29691,R182,R256,116 ST,6,0.44,0.0,0.01,0.0,1026762
40,10029,75390,22232,0,29691,R182,R257,116 ST,6,0.44,0.0,0.01,0.0,642089
41,10030,25847,17970,0,30962,R332,N024,135 ST,BC,0.36,0.0,0.01,0.0,218429
41,10030,25847,17970,0,30962,R332,N023,135 ST,BC,0.36,0.0,0.01,0.0,120712
41,10030,25847,17970,0,30962,R332,N022,135 ST,BC,0.36,0.0,0.01,0.0,166885
41,10030,25847,17970,0,30962,R344,R308,145 ST,3,0.36,0.0,0.01,0.0,363499
42,10039,21737,17370,0,31063,R345,R309,148 ST-LENOX,3,0.35,0.0,0.01,0.0,391942
42,10039,21737,17370,0,31063,R315,N202,155 ST,BD,0.35,0.0,0.01,0.0,416499
43,10035,32702,14896,0,31403,R132,R258,125 ST,456,0.3,0.0,0.01,0.0,2579891
43,10035,32702,14896,0,31403,R016,N305A,LEXINGTON-53 ST,EM6,0.3,0.0,0.01,0.0,725807
43,10035,32702,14896,0,31403,R017,N306,LEXINGTON-53 ST,EM6,0.3,0.0,0.01,0.0,2324118
43,10035,32702,14896,0,31403,R017,N305,LEXINGTON-53 ST,EM6,0.3,0.0,0.01,0.0,1061062
